PharmaName,GEOID,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,TotalWomen
BEST CARE PHARMACY LONG TERM CARE,148587812603,303.0,169.0,71.0,32.0,289.0,341.0,664.0,376.0,719.0,518.0,3482.0
BEST VALUE DRUG AND COMPOUNDING CENTER,111441001304,186.0,2862.0,300.0,192.0,342.0,429.0,181.0,227.0,224.0,196.0,5139.0
BETHEL PHARMACY,74250971802,64.0,133.0,0.0,18.0,183.0,91.0,23.0,48.0,158.0,149.0,867.0
BETHLEHEM PHARMACY,74054062204,144.0,39.0,1.0,41.0,64.0,98.0,191.0,114.0,153.0,155.0,1000.0
BEULAVILLE PHARMACY,111185851403,202.0,78.0,49.0,188.0,383.0,402.0,180.0,144.0,253.0,201.0,2080.0
BI-LO - 11,37175960404,3.0,57.0,27.0,0.0,13.0,22.0,0.0,22.0,42.0,98.0,284.0
BI-LO - 156,37119005845,126.0,8.0,36.0,0.0,5.0,128.0,114.0,489.0,188.0,350.0,1444.0
BI-LO - 200,37119005519,349.0,44.0,13.0,13.0,67.0,308.0,171.0,233.0,373.0,259.0,1830.0
BI-LO - 206,37071032802,0.0,47.0,0.0,51.0,0.0,95.0,169.0,92.0,147.0,197.0,798.0
BI-LO - 211,37021002704,31.0,70.0,44.0,0.0,32.0,153.0,165.0,150.0,225.0,91.0,961.0
BI-LO - 219,74144047208,153.0,142.0,0.0,22.0,121.0,275.0,183.0,339.0,150.0,274.0,1659.0
BI-LO - 26,37119005517,66.0,10.0,22.0,0.0,23.0,82.0,94.0,191.0,140.0,211.0,839.0
BI-LO - 288,37099950700,10.0,109.0,11.0,0.0,30.0,114.0,97.0,40.0,19.0,93.0,523.0
BI-LO - 420,74124091901,144.0,85.0,13.0,17.0,75.0,191.0,343.0,66.0,186.0,393.0,1513.0
BI-LO - 445,74142065103,105.0,56.0,18.0,0.0,53.0,203.0,174.0,125.0,172.0,153.0,1059.0
BI-LO - 530,74238011759,127.0,156.0,0.0,97.0,94.0,317.0,414.0,340.0,121.0,277.0,1943.0
BI-LO - 605,37045951503,33.0,48.0,5.0,21.0,28.0,36.0,63.0,15.0,87.0,112.0,448.0
BI-LO - 633,74190038121,33.0,40.0,43.0,13.0,70.0,269.0,98.0,267.0,139.0,311.0,1283.0
BI-LO - 640,74298026133,139.0,80.0,124.0,34.0,115.0,226.0,231.0,266.0,294.0,237.0,1746.0
BI-LO - 717,74218141701,44.0,10.0,16.0,0.0,92.0,84.0,175.0,250.0,158.0,239.0,1068.0
BIDDLEVILLE PHARMACY,222522136420,302.0,690.0,102.0,103.0,274.0,840.0,733.0,703.0,340.0,734.0,4821.0
BIG VALUE DISCOUNT DRUG CENTER,37051002900,157.0,63.0,21.0,18.0,13.0,74.0,235.0,219.0,91.0,244.0,1135.0
BIRMINGHAM DRUG COMPANY INCORPORATED,334327867023,685.0,384.0,121.0,327.0,434.0,1387.0,943.0,1034.0,1245.0,1224.0,7784.0
BLOOM - 2585,37119005511,57.0,31.0,0.0,0.0,266.0,297.0,134.0,250.0,110.0,107.0,1252.0
BLOOM - 2772,111309040015,205.0,65.0,35.0,3.0,235.0,513.0,478.0,368.0,261.0,218.0,2381.0
BLOUNTS MUTUAL DRUGS,111148880903,186.0,1.0,11.0,30.0,40.0,326.0,314.0,145.0,347.0,204.0,1604.0
BLUE RIDGE LONG TERM CARE PHARMACY,37021002803,142.0,65.0,18.0,0.0,0.0,319.0,184.0,118.0,131.0,176.0,1153.0
BLUE RIDGE PHARMACY,37021000700,14.0,0.0,0.0,4.0,85.0,181.0,85.0,57.0,24.0,17.0,467.0
BOONE DRUG,74379841500,28.0,2955.0,415.0,292.0,130.0,69.0,128.0,54.0,74.0,79.0,4224.0
BORDEAUX DRUG COMPANY,111265977110,217.0,133.0,70.0,96.0,226.0,436.0,438.0,584.0,378.0,638.0,3216.0
BOULEVARD PHARMACY INCORPORATED,111540970603,244.0,123.0,48.0,78.0,48.0,115.0,277.0,387.0,93.0,123.0,1536.0
BRAME HUIE PHARMACY,74387921902,127.0,44.0,24.0,70.0,60.0,325.0,207.0,179.0,313.0,126.0,1475.0
BREVARD DRUG COMPANY,37149920103,42.0,54.0,0.0,6.0,53.0,50.0,69.0,51.0,31.0,103.0,459.0
BRIDGE STREET PHARMACY,37189920701,118.0,4.0,3.0,40.0,11.0,55.0,27.0,96.0,21.0,90.0,465.0
BRISSON DRUGS,37155960302,28.0,37.0,11.0,19.0,57.0,57.0,99.0,53.0,81.0,97.0,539.0
BROOKCARE PHARMACY SERVICES,74134007715,159.0,72.0,0.0,26.0,174.0,372.0,461.0,265.0,194.0,241.0,1964.0
BROUGHTON HOSPITAL,37023020802,83.0,39.0,14.0,0.0,13.0,20.0,87.0,169.0,134.0,64.0,623.0
BRYAN CLINIC PHARMACY,37127010302,0.0,23.0,0.0,0.0,31.0,27.0,46.0,83.0,92.0,85.0,387.0
BRYAN DRUGS,74130042000,56.0,33.0,199.0,0.0,174.0,299.0,315.0,97.0,236.0,126.0,1535.0
BRYSON CITY HEALTH MART PHARMACY,259791574708,333.0,215.0,99.0,66.0,719.0,673.0,723.0,733.0,1129.0,852.0,5542.0
BUNN DRUG,111437075415,103.0,121.0,20.0,0.0,139.0,200.0,395.0,332.0,581.0,264.0,2155.0
BURTON'S PHARMACY,111243032501,68.0,1950.0,313.0,225.0,354.0,348.0,363.0,136.0,145.0,178.0,4080.0
BUTLER'S PHARMACY,74214972302,64.0,47.0,6.0,23.0,55.0,267.0,77.0,118.0,122.0,157.0,936.0
CABARRUS HEALTH ALLIANCE,37025041701,65.0,14.0,27.0,11.0,131.0,135.0,85.0,102.0,136.0,96.0,802.0
CAJAHS MOUNTAIN DISCOUNT DRUG,37027030802,208.0,37.0,0.0,0.0,114.0,119.0,93.0,188.0,53.0,104.0,916.0
CAMP GEIGER BRANCH MEDICAL CLINIC PHARMACY-DOD,74266001803,0.0,70.0,149.0,185.0,519.0,238.0,265.0,126.0,17.0,24.0,1593.0
CAMPUS HEALTH PHARMACY,37135010708,42.0,66.0,0.0,309.0,193.0,115.0,172.0,192.0,20.0,95.0,1204.0
CANE CREEK PHARMACY,74182962406,106.0,30.0,22.0,34.0,52.0,151.0,281.0,298.0,324.0,361.0,1659.0
CANNON PHARMACY,334023274735,784.0,483.0,193.0,193.0,519.0,1278.0,1205.0,1170.0,883.0,1265.0,7973.0
CAPE FEAR DISCOUNT DRUG,37051003314,146.0,102.0,0.0,88.0,58.0,472.0,336.0,201.0,357.0,194.0,1954.0
CAREMOR FAMILY PHARMACY,334045570228,1002.0,584.0,280.0,168.0,740.0,1318.0,1355.0,1303.0,1730.0,1873.0,10353.0
CAREPLUS,111235986521,127.0,8.0,0.0,23.0,69.0,317.0,403.0,428.0,409.0,178.0,1962.0
CARLIE C'S IGA,185499079221,333.0,250.0,154.0,57.0,359.0,674.0,715.0,664.0,482.0,724.0,4412.0
CARMEL FAMILY PHARMACY,37119005829,76.0,24.0,10.0,9.0,49.0,180.0,140.0,61.0,8.0,9.0,566.0
CAROLINA APOTHECARY,37169070400,139.0,216.0,0.0,0.0,148.0,56.0,290.0,57.0,97.0,209.0,1212.0
CAROLINA BREATHING SOLUTIONS,74108923301,45.0,117.0,0.0,10.0,197.0,158.0,108.0,219.0,121.0,101.0,1076.0
CAROLINA COMPOUNDING PHARMACY AND HEALTH CENTER,185915261844,353.0,311.0,233.0,345.0,748.0,1482.0,804.0,796.0,787.0,701.0,6560.0
CAROLINA DRUG,37057060700,60.0,71.0,18.0,0.0,129.0,314.0,85.0,319.0,155.0,64.0,1215.0
CAROLINA INFUSION CARE,185595023716,465.0,262.0,62.0,97.0,387.0,865.0,830.0,672.0,689.0,859.0,5188.0
CAROLINAS MEDICAL CENTER - BIDDLE POINT PHARMACY,37119001508,66.0,128.0,15.0,0.0,176.0,147.0,255.0,195.0,293.0,150.0,1425.0
CAROLINAS MEDICAL CENTER - HOME INFUSION AND EQUIPTMENT,111357008722,277.0,93.0,50.0,0.0,76.0,195.0,231.0,321.0,317.0,624.0,2184.0
CAROLINAS MEDICAL CENTER - MEDICAL CENTER PLAZA,37119001916,86.0,61.0,47.0,58.0,100.0,139.0,156.0,170.0,161.0,77.0,1055.0
CAROLINAS MEDICAL CENTER - MORROCROFT MEDICAL PLAZA,37119005923,311.0,0.0,0.0,0.0,103.0,43.0,158.0,557.0,106.0,194.0,1472.0
CAROLINAS MEDICAL CENTER - MYERS PARK PHARMACY,222567914037,441.0,319.0,12.0,152.0,390.0,1070.0,687.0,684.0,610.0,859.0,5224.0
CAROLINAS MEDICAL CENTER - STEELE CREEK,37007920200,9.0,0.0,0.0,14.0,22.0,57.0,57.0,106.0,27.0,32.0,324.0
CAROLINAS MEDICAL CENTER PHARMACY,222581976525,554.0,518.0,414.0,26.0,377.0,677.0,793.0,911.0,1161.0,935.0,6366.0
CARROLL PHARMACY,185563224320,457.0,204.0,86.0,72.0,259.0,707.0,519.0,913.0,622.0,701.0,4540.0
CARTER'S FAMILY PHARMACY,37057061806,49.0,13.0,95.0,16.0,51.0,54.0,17.0,64.0,172.0,76.0,607.0
CASHIERS VALLEY PHARMACY,37039930401,0.0,61.0,17.0,23.0,82.0,79.0,109.0,19.0,99.0,64.0,553.0
CASWELL DEVELOPMENTAL CENTER,111383081300,231.0,80.0,61.0,51.0,139.0,460.0,315.0,248.0,408.0,282.0,2275.0
CENTER STREET PHARMACY,37057061400,136.0,0.0,75.0,0.0,88.0,153.0,124.0,161.0,152.0,104.0,993.0
CENTRAL CAROLINA PHARMACEUTICAL,37037020401,161.0,103.0,46.0,95.0,229.0,172.0,95.0,381.0,217.0,146.0,1645.0
CENTRAL CAROLINA PHARMACY SERVICES,37109071002,14.0,0.0,0.0,0.0,69.0,83.0,226.0,39.0,29.0,72.0,532.0
CENTRAL DRUG STORE,37071031401,25.0,0.0,0.0,0.0,62.0,172.0,140.0,62.0,91.0,66.0,618.0
CENTRAL REGIONAL HOSPITAL,37015960200,49.0,23.0,0.0,56.0,29.0,179.0,85.0,101.0,220.0,86.0,828.0
CHAIR CITY PHARMACY,37097061001,39.0,45.0,0.0,74.0,66.0,292.0,151.0,153.0,86.0,28.0,934.0
CHAMP DAVIS PHARMACY,37129011612,115.0,0.0,57.0,0.0,90.0,205.0,121.0,277.0,201.0,544.0,1610.0
CHAPEL HILL COMPOUNDING,111199035411,176.0,100.0,267.0,204.0,674.0,740.0,588.0,767.0,297.0,557.0,4370.0
CHARLEYS DRUGS AND SUNDRIES,148476022186,293.0,258.0,187.0,359.0,360.0,938.0,877.0,817.0,1036.0,1374.0,6499.0
CHARLOTTE TREATMENT CENTER,74238006827,122.0,291.0,90.0,113.0,222.0,367.0,536.0,405.0,735.0,181.0,3062.0
CHERRY HOSPITAL,111483043503,264.0,146.0,0.0,37.0,65.0,643.0,445.0,269.0,390.0,280.0,2539.0
CHOCOWINITY PHARMACY,222391785004,713.0,218.0,43.0,91.0,283.0,313.0,715.0,620.0,588.0,701.0,4285.0
CLARKTON DRUG INCORPORATED,111444924003,141.0,113.0,110.0,66.0,61.0,375.0,292.0,250.0,319.0,410.0,2137.0
CLEVELAND DRUG COMPANY,37159051302,93.0,8.0,23.0,94.0,87.0,99.0,55.0,35.0,215.0,82.0,791.0
CLINIC PHARMACY,185408124926,247.0,97.0,107.0,125.0,379.0,425.0,425.0,565.0,376.0,485.0,3231.0
COATS PHARMACY INCORPORATED,185697093817,237.0,93.0,114.0,48.0,116.0,399.0,604.0,557.0,393.0,519.0,3080.0
COLUMBIA PHARMACY,74243920701,203.0,162.0,20.0,62.0,96.0,222.0,451.0,369.0,404.0,352.0,2341.0
COMMWELL HEALTH,222621023513,341.0,324.0,109.0,127.0,408.0,545.0,627.0,509.0,554.0,597.0,4141.0
CONTINUING CARE RX OF CHARLOTTE,148487915607,106.0,289.0,172.0,32.0,359.0,384.0,433.0,396.0,209.0,252.0,2632.0
CONTINUING CARE RX OF NORTH CAROLINA,111549158744,199.0,115.0,427.0,261.0,753.0,926.0,450.0,604.0,719.0,342.0,4796.0
COOKES PHARMACY INCORPORATED,74132070601,100.0,166.0,42.0,13.0,141.0,485.0,377.0,308.0,66.0,429.0,2127.0
COOPERS PHARMACY INCORPORATED,148579841317,406.0,141.0,223.0,31.0,182.0,366.0,282.0,375.0,247.0,384.0,2637.0
COOR'S PHARMACY AND MEDICAL SUPPLY,37013930900,56.0,35.0,15.0,35.0,0.0,26.0,181.0,42.0,94.0,73.0,557.0
COPPER CREEK PHARMACY,74238983220,87.0,25.0,0.0,0.0,65.0,0.0,48.0,165.0,119.0,152.0,661.0
CORAM SPECIALTY INFUSION SERVICES,148198030982,297.0,141.0,63.0,66.0,523.0,936.0,568.0,594.0,857.0,502.0,4547.0
COSTCO,370890123776,573.0,701.0,379.0,189.0,626.0,1478.0,1391.0,1011.0,1091.0,1168.0,8607.0
COSTWISE PHARMACY,37065021400,96.0,76.0,68.0,22.0,36.0,86.0,135.0,90.0,164.0,140.0,913.0
CRAMERTON DRUG COMPANY,37119000900,0.0,35.0,15.0,4.0,44.0,148.0,179.0,92.0,45.0,36.0,598.0
CRAWLEY MEMORIAL HOSPITAL,37045951501,73.0,368.0,169.0,239.0,78.0,140.0,74.0,104.0,172.0,88.0,1505.0
CREECH DRUG COMPANY,111303123915,509.0,37.0,63.0,24.0,316.0,413.0,339.0,263.0,314.0,462.0,2740.0
CREEDMOOR DRUG COMPANY,37127010801,7.0,21.0,77.0,0.0,0.0,61.0,37.0,0.0,2.0,55.0,260.0
CRITICAL CARE SYSTEMS,37067001902,53.0,79.0,0.0,33.0,59.0,152.0,160.0,76.0,92.0,33.0,737.0
CROSSROADS PHARMACY,111353173709,406.0,215.0,61.0,81.0,551.0,333.0,375.0,384.0,659.0,872.0,3937.0
CUSTOM CARE PHARMACY INCORPORATED,148310042818,270.0,225.0,190.0,86.0,366.0,1207.0,816.0,584.0,654.0,611.0,5009.0
CVS - 1218,37067002702,0.0,5.0,0.0,17.0,0.0,91.0,372.0,286.0,226.0,215.0,1212.0
CVS - 1246,148360012714,281.0,261.0,131.0,53.0,30.0,301.0,439.0,298.0,517.0,434.0,2745.0
CVS - 1395,37063001400,0.0,0.0,0.0,36.0,24.0,318.0,92.0,87.0,0.0,0.0,557.0
CVS - 162,74358041707,302.0,414.0,275.0,196.0,352.0,284.0,132.0,359.0,299.0,529.0,3142.0
CVS - 1643,37119006311,77.0,82.0,0.0,26.0,10.0,26.0,72.0,132.0,227.0,233.0,885.0
CVS - 1674,37119006220,0.0,64.0,0.0,0.0,0.0,55.0,14.0,81.0,57.0,56.0,327.0
CVS - 1742,111417032012,277.0,121.0,32.0,35.0,415.0,245.0,457.0,500.0,460.0,516.0,3058.0
CVS - 187,37119005832,206.0,15.0,0.0,6.0,17.0,88.0,66.0,91.0,171.0,134.0,794.0
CVS - 2306,74366106949,43.0,36.0,48.0,0.0,67.0,228.0,316.0,212.0,291.0,177.0,1418.0
CVS - 2313,111549161738,274.0,146.0,97.0,8.0,162.0,664.0,826.0,662.0,314.0,551.0,3704.0
CVS - 2532,111163052107,212.0,129.0,109.0,36.0,446.0,906.0,746.0,590.0,319.0,591.0,4084.0
CVS - 2559,148215038434,624.0,114.0,12.0,162.0,480.0,877.0,1344.0,576.0,1108.0,645.0,5942.0
CVS - 2562,37119005915,11.0,26.0,26.0,30.0,32.0,402.0,109.0,61.0,71.0,171.0,939.0
CVS - 2563,37045950200,25.0,15.0,2.0,0.0,9.0,97.0,161.0,40.0,193.0,50.0,592.0
CVS - 2571,111261066612,165.0,48.0,16.0,45.0,113.0,314.0,277.0,204.0,274.0,311.0,1767.0
CVS - 2676,37035010402,149.0,446.0,83.0,80.0,222.0,232.0,176.0,155.0,247.0,138.0,1928.0
CVS - 2710,74198012734,61.0,65.0,0.0,0.0,50.0,193.0,83.0,297.0,197.0,357.0,1303.0
CVS - 2771,37183052903,63.0,22.0,0.0,1.0,75.0,37.0,108.0,129.0,139.0,106.0,680.0
CVS - 2772,37119005840,22.0,14.0,6.0,4.0,19.0,39.0,39.0,42.0,118.0,101.0,404.0
CVS - 2877,37179020204,259.0,46.0,311.0,0.0,26.0,127.0,89.0,83.0,42.0,122.0,1105.0
CVS - 3120,74120082203,179.0,63.0,75.0,76.0,49.0,366.0,313.0,229.0,408.0,246.0,2004.0
CVS - 3214,111467147017,257.0,55.0,8.0,24.0,301.0,211.0,484.0,517.0,390.0,500.0,2747.0
CVS - 3319,37119005918,52.0,43.0,0.0,0.0,48.0,182.0,307.0,150.0,398.0,138.0,1318.0
CVS - 3385,148502933505,237.0,163.0,29.0,140.0,634.0,928.0,680.0,482.0,435.0,736.0,4464.0
CVS - 3387,408007363114,728.0,348.0,41.0,116.0,316.0,1109.0,885.0,1064.0,1155.0,1386.0,7148.0
CVS - 3435,37119005516,15.0,5.0,153.0,0.0,22.0,70.0,13.0,65.0,94.0,186.0,623.0
CVS - 3440,37007980000,0.0,0.0,0.0,7.0,20.0,33.0,65.0,50.0,31.0,32.0,238.0
CVS - 3504,111331051202,123.0,25.0,7.0,13.0,209.0,552.0,461.0,176.0,260.0,339.0,2165.0
CVS - 3511,37197050502,96.0,39.0,49.0,39.0,64.0,56.0,246.0,201.0,120.0,123.0,1033.0
CVS - 3514,185380034735,452.0,379.0,49.0,194.0,692.0,585.0,1014.0,853.0,1129.0,612.0,5959.0
CVS - 3518,74134004104,586.0,86.0,186.0,0.0,149.0,248.0,350.0,350.0,468.0,307.0,2730.0
CVS - 3524,37035010502,162.0,40.0,21.0,32.0,28.0,66.0,130.0,114.0,178.0,27.0,798.0
CVS - 3527,37151030806,48.0,0.0,88.0,0.0,1.0,174.0,73.0,121.0,45.0,101.0,651.0
CVS - 3534,37021003108,0.0,0.0,0.0,0.0,50.0,29.0,31.0,68.0,140.0,32.0,350.0
CVS - 3540,74238001402,12.0,0.0,0.0,7.0,131.0,495.0,248.0,311.0,221.0,54.0,1479.0
CVS - 3559,111413851303,126.0,85.0,33.0,93.0,215.0,171.0,251.0,229.0,235.0,336.0,1774.0
CVS - 3563,296526356213,379.0,359.0,145.0,209.0,731.0,1016.0,802.0,621.0,688.0,950.0,5900.0
CVS - 3569,37097061101,13.0,0.0,0.0,17.0,90.0,47.0,74.0,91.0,53.0,49.0,434.0
CVS - 3574,37067003806,125.0,32.0,0.0,244.0,64.0,90.0,94.0,112.0,65.0,259.0,1085.0
CVS - 3582,37089931802,50.0,12.0,0.0,21.0,51.0,177.0,65.0,79.0,44.0,148.0,647.0
CVS - 3589,74366107730,130.0,79.0,38.0,11.0,158.0,260.0,321.0,513.0,217.0,254.0,1981.0
CVS - 3592,259593216019,501.0,283.0,189.0,233.0,474.0,753.0,863.0,869.0,726.0,1035.0,5926.0
CVS - 3593,37179021018,161.0,59.0,14.0,0.0,18.0,0.0,82.0,53.0,245.0,301.0,933.0
CVS - 3594,111387034815,217.0,292.0,165.0,122.0,197.0,348.0,266.0,497.0,391.0,502.0,2997.0
CVS - 3643,37067000801,7.0,614.0,368.0,124.0,101.0,0.0,85.0,19.0,50.0,14.0,1382.0
CVS - 3711,111243041420,135.0,119.0,41.0,29.0,249.0,372.0,400.0,394.0,325.0,274.0,2338.0
CVS - 3803,74310081702,197.0,89.0,64.0,25.0,229.0,347.0,363.0,510.0,435.0,496.0,2755.0
CVS - 3808,37035010600,71.0,29.0,70.0,129.0,57.0,255.0,199.0,261.0,129.0,140.0,1340.0
CVS - 3812,74387921300,31.0,107.0,143.0,34.0,110.0,264.0,337.0,169.0,187.0,291.0,1673.0
CVS - 3815,37153970400,109.0,0.0,0.0,10.0,43.0,99.0,192.0,218.0,78.0,193.0,942.0
CVS - 3822,74148031405,59.0,20.0,37.0,63.0,113.0,280.0,151.0,216.0,175.0,199.0,1313.0
CVS - 3832,74278060601,131.0,25.0,33.0,80.0,162.0,414.0,296.0,126.0,310.0,356.0,1933.0
CVS - 3833,37135010707,104.0,0.0,24.0,0.0,86.0,471.0,256.0,155.0,113.0,38.0,1247.0
CVS - 3836,37129012012,33.0,17.0,0.0,0.0,25.0,0.0,70.0,108.0,37.0,11.0,301.0
CVS - 3837,37119004306,22.0,25.0,0.0,0.0,29.0,155.0,201.0,116.0,55.0,221.0,824.0
CVS - 3847,37087920501,28.0,0.0,0.0,0.0,61.0,173.0,22.0,87.0,51.0,24.0,446.0
CVS - 3856,148295041212,255.0,162.0,35.0,39.0,226.0,678.0,745.0,486.0,630.0,509.0,3765.0
CVS - 3864,111195974610,265.0,223.0,84.0,9.0,337.0,809.0,947.0,648.0,543.0,651.0,4516.0
CVS - 3867,74382950902,224.0,47.0,24.0,0.0,200.0,129.0,293.0,130.0,145.0,134.0,1326.0
CVS - 3880,111244005313,211.0,11.0,0.0,0.0,75.0,256.0,401.0,184.0,254.0,134.0,1526.0
CVS - 3895,37147001800,63.0,44.0,36.0,46.0,57.0,241.0,130.0,196.0,50.0,177.0,1040.0
CVS - 3896,148334079623,341.0,11.0,93.0,125.0,239.0,557.0,796.0,398.0,448.0,670.0,3678.0
CVS - 3898,37183053806,75.0,0.0,11.0,9.0,25.0,35.0,22.0,92.0,182.0,83.0,534.0
CVS - 3899,111235987206,242.0,328.0,152.0,59.0,567.0,680.0,486.0,478.0,484.0,622.0,4098.0
CVS - 3918,37183053807,168.0,18.0,0.0,0.0,102.0,87.0,98.0,137.0,164.0,274.0,1048.0
CVS - 3973,74254021107,197.0,59.0,0.0,112.0,223.0,149.0,192.0,194.0,76.0,109.0,1311.0
CVS - 3988,222462137115,455.0,145.0,189.0,155.0,449.0,639.0,637.0,833.0,903.0,747.0,5152.0
CVS - 4022,37119005626,93.0,5.0,83.0,0.0,160.0,94.0,114.0,158.0,206.0,173.0,1086.0
CVS - 4056,148700190443,316.0,320.0,134.0,192.0,574.0,751.0,535.0,332.0,462.0,359.0,3975.0
CVS - 4095,74102004217,122.0,30.0,115.0,0.0,342.0,347.0,327.0,282.0,196.0,214.0,1975.0
CVS - 4098,37119005851,139.0,46.0,0.0,0.0,97.0,69.0,95.0,156.0,158.0,437.0,1197.0
CVS - 4105,111063007406,488.0,108.0,33.0,59.0,217.0,399.0,652.0,477.0,688.0,346.0,3467.0
CVS - 4169,74214971102,405.0,63.0,3.0,20.0,241.0,481.0,270.0,312.0,265.0,115.0,2175.0
CVS - 4176,37021001200,163.0,33.0,0.0,0.0,161.0,192.0,208.0,264.0,28.0,338.0,1387.0
CVS - 4183,37089931901,14.0,37.0,0.0,35.0,0.0,68.0,119.0,33.0,127.0,36.0,469.0
CVS - 4197,74251890704,275.0,0.0,18.0,0.0,0.0,224.0,81.0,228.0,371.0,149.0,1346.0
CVS - 4198,74366106313,212.0,42.0,12.0,18.0,136.0,475.0,537.0,471.0,188.0,168.0,2259.0
CVS - 4202,37071031402,61.0,28.0,5.0,5.0,10.0,81.0,50.0,108.0,69.0,104.0,521.0
CVS - 4284,37151031505,107.0,40.0,10.0,10.0,127.0,89.0,57.0,85.0,134.0,67.0,726.0
CVS - 4293,148462912207,247.0,159.0,67.0,112.0,200.0,524.0,496.0,520.0,644.0,659.0,3628.0
CVS - 4294,37057061904,18.0,0.0,0.0,0.0,163.0,114.0,8.0,52.0,52.0,12.0,419.0
CVS - 4298,148407034915,182.0,133.0,116.0,46.0,235.0,337.0,297.0,465.0,713.0,620.0,3144.0
CVS - 4390,74164970707,121.0,65.0,10.0,32.0,20.0,41.0,196.0,264.0,91.0,71.0,911.0
CVS - 4391,37183053803,95.0,25.0,0.0,0.0,148.0,75.0,75.0,49.0,105.0,318.0,890.0
CVS - 4398,37197050503,35.0,56.0,28.0,14.0,52.0,93.0,132.0,84.0,108.0,117.0,719.0
CVS - 4435,37051003208,133.0,34.0,0.0,43.0,125.0,197.0,117.0,186.0,144.0,152.0,1131.0
CVS - 4444,111333023713,415.0,85.0,56.0,86.0,223.0,594.0,389.0,533.0,631.0,347.0,3359.0
CVS - 4467,74179860803,68.0,45.0,0.0,0.0,62.0,124.0,223.0,49.0,195.0,162.0,928.0
CVS - 4490,74190038005,148.0,67.0,62.0,58.0,55.0,203.0,229.0,342.0,203.0,111.0,1478.0
CVS - 4620,37109071101,76.0,33.0,0.0,0.0,86.0,188.0,93.0,207.0,215.0,304.0,1202.0
